search_term,url,title,rating,duration,position,description,category,keywords
dog agility course,https://www.youtube.com/watch?v=ND2wihZiR_Q,"Watch Australian Shepherd, Holster, Win 2016 Masters Agility Championship | FOX SPORTS",4.9315457,109,0,"See the winning run from the 2016 Masters Agility Championship contest at the Westminster Kennel Club dog show.
Winning Run 2015: https://www.youtube.com/watch?v=LbQZ4FGv9ug #FOXSports

SUBSCRIBE to get the latest FOX Sports content: http://foxs.pt/SubscribeFOXSPORTS

▶First Things First's YouTube channel: http://foxs.pt/SubscribeFIRSTTHINGSFIRST
►UNDISPUTED’s YouTube channel: http://foxs.pt/SubscribeUNDISPUTED 
▶The Herd with Colin Cowherd’s YouTube channel: http://foxs.pt/SubscribeTHEHERD
▶Speak For Yourself's YouTube Channel: http://foxs.pt/SubscribeSPEAKFORYOURSELF
►UFC on FOX’s YouTube channel: http://foxs.pt/SubscribeUFCONFOX
►FOX Soccer’s YouTube channel: http://foxs.pt/SubscribeFOXSOCCER
 
Like Fox Sports on Facebook: http://foxs.pt/FOXSPORTSFacebook
Follow Fox Sports on Twitter: http://foxs.pt/FOXSPORTSTwitter 
Follow Fox Sports on Instagram: http://foxs.pt/FOXSPORTSInstagram

About FOX Sports:
With exclusive highlights, original programming, and behind the scenes footage, FOX Sports' YouTube channel provides the sports content that fans are hungry for. FOX Sports coverage includes: College Basketball, College Football, MLB, NASCAR, NFL, Soccer, UFC, USGA events and the FIFA World Cup. FS1 original programs include: Undisputed, The Herd, Speak for Yourself, First Things First and more.

Watch Australian Shepherd, Holster, Win 2016 Masters Agility Championship | FOX SPORTS
https://www.youtube.com/watch?v=ND2wihZiR_Q

Fox Sports
https://www.youtube.com/c/FoxSports",,"['holster', 'dog show', 'westminster', 'puppies', 'run', 'agility', 'sports', 'news', 'australian shepard', 'australian', 'shepard', 'fox', 'fox sports', 'fs1', 'dogs', 'new york', 'cute', 'tex', 'border collie', 'winning run', 'great run', 'adorable']"
dog agility course,https://www.youtube.com/watch?v=kqnB76cQSd0,Check out the best of the 2019 WKC Masters Agility Championship | FOX SPORTS,4.9274173,600,0,"See the best action from the 2019 Masters Agility competition at the Westminster Kennel Club Dog Show.

#FOXSports #WKC #MastersAgilityChampionship

SUBSCRIBE to get the latest FOX Sports content: http://foxs.pt/SubscribeFOXSPORTS

▶First Things First's YouTube channel: http://foxs.pt/SubscribeFIRSTTHINGSFIRST
►UNDISPUTED’s YouTube channel: http://foxs.pt/SubscribeUNDISPUTED 
▶The Herd with Colin Cowherd’s YouTube channel: http://foxs.pt/SubscribeTHEHERD
▶Speak For Yourself's YouTube Channel: http://foxs.pt/SubscribeSPEAKFORYOURSELF
►UFC on FOX’s YouTube channel: http://foxs.pt/SubscribeUFCONFOX
►FOX Soccer’s YouTube channel: http://foxs.pt/SubscribeFOXSOCCER
 
Like Fox Sports on Facebook: http://foxs.pt/FOXSPORTSFacebook
Follow Fox Sports on Twitter: http://foxs.pt/FOXSPORTSTwitter 
Follow Fox Sports on Instagram: http://foxs.pt/FOXSPORTSInstagram

About FOX Sports:
With exclusive highlights, original programming, and behind the scenes footage, FOX Sports' YouTube channel provides the sports content that fans are hungry for. FOX Sports coverage includes: College Basketball, College Football, MLB, NASCAR, NFL, Soccer, UFC, USGA events and the FIFA World Cup. FS1 original programs include: Undisputed, The Herd, Speak for Yourself, First Things First and more.

Check out the best of the 2019 WKC Masters Agility Championship | FOX SPORTS
https://youtu.be/kqnB76cQSd0

Fox Sports
https://www.youtube.com/c/FoxSports",,"['WKC', '2019 Masters Agility', '2019', 'Masters Agility', 'Best of the 2019 Masters Agility', 'fox', 'fox sports', 'fs1', 'fox sports 1', 'westminster dog show', 'westminster', 'westminster highlights', 'sports', 'news', 'Masters Agility Championship', '2019 WKC Masters Agility', '2019 WKC', 'best action', 'Agility competition', 'westminster kennel club', 'Westminster Kennel', 'Kennel Club Dog Show', 'Dog Show', 'wkc dog show', 'best of the 2019 WKC']"
dog agility course,https://www.youtube.com/watch?v=fxxwFuffzDE,This Episode Is About Dog Agility Training,4.9553075,702,0,"This episode of the vlog is about dog agility training. You'll see how Kayl McCann, a 20X World Champion of dog agility, prepares with her dogs as she prepares her dogs for an upcoming local competition. You'll also get to see some of Kayl's students who lost an agility bet as they have to go through with thier consequence;)

BRAND NEW! We Now Have A FULLY SUPPORTED Puppy Essentials Training Program Online!
Train With Us To Make Your Puppy Training More Enjoyable And To Give Your Puppy The Best Start Possible: 
https://www.McCannDogs.Link/PuppyEssentials

Are you looking for a personalized training plan for YOUR dog? We now have a HomeSchool program, that's fully supported with a McCann Dogs trainer for YOU. Check out: https://mccanndogs.link/HomeSchool

 

(Jan 2020 Update) We Currently Have Some Of Our Signature Training Equipment Available Online! (Limited Quantities) To Get Yours, Visit: https://www.McCannDogs.store

Don't Forget To Subscribe: https://goo.gl/g6O345

Check out our latest video HERE: https://goo.gl/UNriTZ

Let's work together! Train with us online: https://mydogcan.mccanndogs.com/courses/my-dog-can

Happy Training! ~Ken",,"['rad dog agility', 'agility training vlog', 'dog agility training', 'dog agility training at home', 'dog agility training basics', 'dog agility training commands', 'dog agility training exercises', 'dog agility training for beginners', 'dog agility training techniques', 'dog agility training tips', 'dog agility training videos', 'dog agility', 'dog agility (sport)', 'dog agility competition', 'agility dog show', 'agility dog training', 'dog mom vlog', 'dog training vlog', 'mccann dog training videos']"
dogs playing,https://www.youtube.com/watch?v=uON_08RFCyE,Dogs playing in daycare,3.9251101,361,0,,,[]
dogs playing,https://www.youtube.com/watch?v=cSd5gYfRgoY,Our happy dogs playing!,4.4139962,443,0,"My dogs playing in our backyard. They are two dutch shepherds, one is  a wire-haired and the other is a short-haired. They can have fun together for ages! Best dogs everr!",,"['dogs', 'playing', 'hollandse herder', 'spelen', 'honden', 'fun', 'hollandse herder ruwhaar', 'hollandse herder korthaar', 'dutch shepherd']"
dogs playing,https://www.youtube.com/watch?v=mDbyA3ufDQk,Dogs and Horses Playing Together Compilation,4.4813361,619,0,"Cute dogs make friends with horses. Dogs and horses running around and playing together. Watch the adorable friendship between a dog and a horse.

Subscribe: http://www.tinyurl.com/petacular

#dogsplaying #dogvshorses #funnydogsandhorses",,"['funny dog videos', 'horse videos', 'dog and horse', 'dog and horse compilation 2018', 'dogs bestfriend', 'dogs', 'dogs horses', 'dog horse friends', 'dog horse friend', 'dog horse vine', 'horse vs dogs', 'horse vs dogs videos', 'funny horses', 'funny horse videos', 'dog', 'funny dogs', 'funny dog videos 2019', 'funny dog vines', 'animal', 'animals', 'funny animal videos', 'funny animal videos 2019', 'funny animal vines', 'funny animal videos clean']"
dogs playing,https://www.youtube.com/watch?v=GKuG4fftJdk,Funny Dogs Playing With Water,3.9679716,163,0,"Dogs and water will always have a love/hate relationship, and that's what makes it great.

Rate, Share & Enjoy The Video!
► Subscribe to our channel for more funny videos: http://www.youtube.com/user/DrunkerFail
► Like our Facebook page: https://www.facebook.com/CrazyFunnySt...
► Follow us on Twitter: https://twitter.com/CFSFunnyVid

If you see a clip that you own that you did not submit or give consent for use, we have likely received false permissions and would be happy to resolve this for you! 
Send us a message at cfsfunnyvid(@)gmail.com",,"['puppy enjoy water', 'dogs', 'puppies', 'love', 'water', 'dogs and puppies love water', 'dogs vs water fountain', 'dogs vs pool', 'puppy vs water bottle', 'dog vs water bottle', 'dogs on water slide', 'puppy on water slide', 'dog vs water sprinkler', 'puppy vs water sprinkler', 'dogs swimming in air', 'dog enjoy water', 'vs', 'playing', 'dogs love water', 'dogs vs water', 'dogs playing with water', 'dog', 'dog swims in air', '2017', 'water dogs', 'water dog', 'cute', 'funny']"
dogs playing,https://www.youtube.com/watch?v=uijmBBUmG7Y,WATCH 450 DOGS RUN & PLAY TOGETHER!!!!,4.8925753,134,0,"Anyone who has ever heard whispers of this sanctuary in Serbia knows what a magical place it is. This amazing haven is home to 450 rescued dogs. But this is no ordinary rescue center. What's most incredible is not just the number of dogs who live here, but the WAY they live.

Rather than being warehoused in cages and kennels, the dogs here PLAY all day long. They experience joy, good food and human kindness - often for the very first time.

The cost of care for each dog here is $15 a month, yet we only have sponsors for 88 dogs. Please, please will some of you help us? The Harmony Fund, a USA registered charity, is soley responsible for maintaining the sanctuary and the monthly costs of feeding the dogs. We can't reduce the dogs' food intake for lack of donations and we certainly can't pick and choose which dogs eat. With winter coming, we hope to stockpile some food. This is one charitable investment that will bring you nothing but happiness.

IF YOU CAN HELP US FEED THE DOGS, CLICK HERE: http://harmonyfund.org/donate/help-feed-care-for-400-dogs-in-serbia   Thank you.

ATTENTION MEDIA:  If you are sharing our video on your site, PLEASE, please, please credit the Harmony Fund and include a link to our donation page for the dogs here http://harmonyfund.org/donate/help-feed-care-for-400-dogs-in-serbia  Thank you for your professionalism.",,"['dog rescue', 'animal rescue', 'dogs', 'Harmony Fund', 'Animals', 'Cats', 'Pets', 'Dog (Domesticated Animal)']"
dogs playing,https://www.youtube.com/watch?v=ZHwlmvuW4NY,Big Dogs Playing Rough Training Video-Cutest Couple!,4.1897106,454,0,"http://DogerciseDogTraining.com
http://DogerciseLA.com
German Shepherd Charlie and DOGercise Client Luna demonstrate some healthy dog play habits.  Big dogs like to play rough sometimes.  Often people aren't sure whether or not the play is friendly, too rough, and then before you know it their is a fight.  It can be hard to see the signs.  Here are two best friends playing very rough.  You can see how many of these behaviors could be seen as a threat, which is why I'm never far away and always moderate play.  Watch and enjoy!",,"['dog', 'play', 'pit', 'bull', 'staffordshire', 'terrier', 'German', 'Shepherd', 'rough', 'playmates', 'dogs play', 'dogs play rough', 'dog biting', 'play tactics', 'pitbull', 'Big dogs playing', 'big dogs', 'Dogercise Dog Training']"
dog tv,https://www.youtube.com/watch?v=noUchHnGiCY,Dog TV 2  - (Reality TV for Dogs)  Please Subscribe,4.5966229,8240,0,"Feel guilty about leaving your dog home alone with nothing to do? Does you dog or dogs have anxiety when you leave and take it out on your furniture? Here is the answer; Dog TV. Just turn on the video and leave your dogs with something that is interesting to them. For over 2 hours your dogs will enjoy watching other dogs playing, barking, and learning basic commands while you are away.",,"['dogs', 'german shepherds', 'cute', 'funny', 'compliation', 'fail', 'animal', 'hilarious', 'pets', 'puppy', 'fun', 'pet', 'laugh', 'dog', 'why do dogs lick their paws', 'why do dogs eat grass', 'a dogs journey']"
